std_fwk_flag,std_fwk_name,std_fwk_code,st_code,apps_level_6p,apps_level,apps_level_detailed,ssa_t1_code,ssa_t1_desc,ssa_t2_code,ssa_t2_desc,stem,route,apps_degree
Standard,Building Control Surveyor (Integrated Degree),447,ST0652,1,Higher Apprenticeship,6,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,Yes
Standard,Heavy Vehicle Service and Maintenance Technician,135,ST0068,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Engineering and Manufacturing,No
Standard,Engineering Design and Draughtsperson,92,ST0164,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,No
Standard,Sales Executive,369,ST0572,0,Higher Apprenticeship,4,15,"Business, Administration and Law",15.4,Marketing and Sales,STEM - no,"Sales, Marketing and Procurement",No
Standard,Buying and Merchandising Assistant,458,ST0683,0,Higher Apprenticeship,4,07,Retail and Commercial Enterprise,07.1,Retailing and Wholesaling,STEM - no,"Sales, Marketing and Procurement",No
Standard,Digital and Technology Solutions Specialist (Integrated Degree),327,ST0482,1,Higher Apprenticeship,7,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,Digital,Yes
Standard,Sports Turf Operative,145,ST0210,0,Intermediate Apprenticeship,2,03,"Agriculture, Horticulture and Animal Care",03.2,Horticulture and Forestry,STEM - no,"Agriculture, Environmental and Animal Care",No
Standard,Intelligence Analyst,382,ST0516,0,Higher Apprenticeship,4,01,"Health, Public Services and Care",01.4,Public Services,STEM - no,Protective Services,No
Standard,Academic Professional,272,ST0477,1,Higher Apprenticeship,7,13,Education and Training,13.1,Teaching and Lecturing,STEM - no,Education and Childcare,No
Standard,Community Activator Coach,215,ST0478,0,Intermediate Apprenticeship,2,08,"Leisure, Travel and Tourism",08.1,"Sport, Leisure and Recreation",STEM - no,Health and Science,No
Standard,Equine Groom,263,ST0166,0,Intermediate Apprenticeship,2,03,"Agriculture, Horticulture and Animal Care",03.3,Animal Care and Veterinary Science,STEM - no,"Agriculture, Environmental and Animal Care",No
Standard,Construction Plant Operative,575,ST0736,0,Intermediate Apprenticeship,2,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Florist,567,ST0538,0,Intermediate Apprenticeship,2,03,"Agriculture, Horticulture and Animal Care",03.2,Horticulture and Forestry,STEM - no,"Agriculture, Environmental and Animal Care",No
Standard,Construction Quantity Surveyor (Degree),482,ST0045,1,Higher Apprenticeship,6,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,Yes
Standard,School Business Professional,232,ST0575,0,Higher Apprenticeship,4,15,"Business, Administration and Law",15.2,Administration,STEM - no,Business and Administration,No
Standard,Retail Leadership (Integrated Degree),384,ST0547,1,Higher Apprenticeship,6,07,Retail and Commercial Enterprise,07.1,Retailing and Wholesaling,STEM - no,"Sales, Marketing and Procurement",Yes
Standard,Housing and Property Management Assistant,64,ST0235,0,Intermediate Apprenticeship,2,01,"Health, Public Services and Care",01.4,Public Services,STEM - no,"Sales, Marketing and Procurement",No
Standard,Network Engineer,1,ST0127,0,Higher Apprenticeship,4,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,Digital,No
Standard,Smart Home Technician,524,ST0464,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Construction,No
Standard,Chartered Legal Executive,41,ST0244,1,Higher Apprenticeship,6,15,"Business, Administration and Law",15.5,Law and Legal Services,STEM - no,"Legal, Finance and Accounting",No
Standard,Crop Technician,314,ST0018,0,Advanced Apprenticeship,3,03,"Agriculture, Horticulture and Animal Care",03.1,Agriculture,STEM - no,"Agriculture, Environmental and Animal Care",No
Standard,Construction Quantity Surveying Technician,468,ST0049,0,Higher Apprenticeship,4,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Supply Chain Practitioner (Fast Moving Consumer Good) (Previously Operator Manager),209,ST0201,0,Advanced Apprenticeship,3,07,Retail and Commercial Enterprise,07.2,Warehousing and Distribution,STEM - no,Transport and Logistics,No
Standard,Career Development Professional,453,ST0694,1,Higher Apprenticeship,6,15,"Business, Administration and Law",15.3,Business Management,STEM - no,Business and Administration,No
Standard,Systems Engineer (Degree),433,ST0107,1,Higher Apprenticeship,7,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,Yes
Standard,Facilities Services Operative,440,ST0617,0,Intermediate Apprenticeship,2,15,"Business, Administration and Law",15.3,Business Management,STEM - no,Construction,No
Standard,Engineering Construction Erector Rigger,376,ST0433,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Construction,No
Standard,IT Technical Salesperson,142,ST0115,0,Advanced Apprenticeship,3,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,"Sales, Marketing and Procurement",No
Standard,Able Seafarer (Deck),34,ST0274,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Transport and Logistics,No
Standard,Actuary,255,ST0502,1,Higher Apprenticeship,7,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Standard,Beauty Therapist,363,ST0630,0,Intermediate Apprenticeship,2,07,Retail and Commercial Enterprise,07.3,Service Enterprises,STEM - no,Hair and Beauty,No
Framework,Property Services,213,NA,0,Advanced Apprenticeship,3,07,Retail and Commercial Enterprise,07.3,Service Enterprises,STEM - no,No Route,No
Standard,Plasterer,529,ST0096,0,Intermediate Apprenticeship,2,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Nuclear Technician,163,ST0380,0,Higher Apprenticeship,5,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Engineering and Manufacturing,No
Standard,Building Services Engineering Installer,164,ST0065,0,Intermediate Apprenticeship,2,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Software Development Technician,154,ST0128,0,Advanced Apprenticeship,3,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,Digital,No
Standard,Social Worker (Integrated Degree),381,ST0510,1,Higher Apprenticeship,6,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Care Services,Yes
Standard,Animal Care and Welfare Assistant,332,ST0397,0,Intermediate Apprenticeship,2,03,"Agriculture, Horticulture and Animal Care",03.3,Animal Care and Veterinary Science,STEM - no,"Agriculture, Environmental and Animal Care",No
Framework,Children's Care Learning and Development,104,NA,0,Intermediate Apprenticeship,2,01,"Health, Public Services and Care",01.5,Child Development and Well Being,STEM - no,No Route,No
Standard,Clinical Associate in Psychology (CAP) (Integrated Degree),591,ST0820,1,Higher Apprenticeship,7,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Health and Science,Yes
Standard,Supply Chain Operator,109,ST0258,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Transport and Logistics,No
Standard,Scaffolder,273,ST0359,0,Intermediate Apprenticeship,2,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Advanced and Creative Hair Professional,545,ST0214,0,Advanced Apprenticeship,3,07,Retail and Commercial Enterprise,07.3,Service Enterprises,STEM - no,Hair and Beauty,No
Standard,"Passenger Transport Driver - Bus, Coach and Tram",189,ST0338,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Transport and Logistics,No
Standard,Bespoke Furniture Maker,521,ST0639,0,Advanced Apprenticeship,3,09,"Arts, Media and Publishing",09.2,"Crafts, Creative Arts and Design",STEM - no,Creative and Design,No
Standard,Midwife (2019 NMC Standards) (Integrated Degree),603,ST0948,1,Higher Apprenticeship,6,01,"Health, Public Services and Care",01.2,Nursing and Subjects and Vocations Allied to Medicine,STEM - no,Health and Science,Yes
Framework,Accountancy,201,NA,0,Intermediate Apprenticeship,2,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,No Route,No
Standard,Laboratory Technician,14,ST0248,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Health and Science,No
Standard,Operating Department Practitioner (Integrated Degree),306,ST0582,1,Higher Apprenticeship,6,01,"Health, Public Services and Care",01.2,Nursing and Subjects and Vocations Allied to Medicine,STEM - no,Health and Science,Yes
Standard,Property Maintenance Operative,23,ST0171,0,Intermediate Apprenticeship,2,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Marketing Assistant,480,ST0807,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.4,Marketing and Sales,STEM - no,"Sales, Marketing and Procurement",No
Standard,Golf Greenkeeper,21,ST0209,0,Intermediate Apprenticeship,2,03,"Agriculture, Horticulture and Animal Care",03.1,Agriculture,STEM - no,"Agriculture, Environmental and Animal Care",No
Standard,Broadcast Production Assistant,112,ST0341,0,Advanced Apprenticeship,3,09,"Arts, Media and Publishing",09.3,Media and Communication,STEM - no,Creative and Design,No
Standard,Vehicle Damage Panel Technician,437,ST0403,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Engineering and Manufacturing,No
Standard,Spectacle Maker,158,ST0383,0,Advanced Apprenticeship,3,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Creative and Design,No
Standard,Building Services Engineering Technician,275,ST0041,0,Higher Apprenticeship,4,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Digital Marketer (Integrated Degree),293,ST0481,1,Higher Apprenticeship,6,15,"Business, Administration and Law",15.4,Marketing and Sales,STEM - no,"Sales, Marketing and Procurement",Yes
Standard,Plate Welder,486,ST0852,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,No
Standard,Nuclear Scientist and Nuclear Engineer (Integrated Degree),47,ST0289,1,Higher Apprenticeship,6,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,Yes
Standard,Data Scientist (Integrated Degree),337,ST0585,1,Higher Apprenticeship,6,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,Digital,Yes
Standard,Rail Engineering Technician,89,ST0318,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Engineering and Manufacturing,No
Standard,International Freight Forwarding Specialist,264,ST0539,0,Advanced Apprenticeship,3,07,Retail and Commercial Enterprise,07.2,Warehousing and Distribution,STEM - no,Transport and Logistics,No
Standard,Payroll Administrator,286,ST0073,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.2,Administration,STEM - no,"Legal, Finance and Accounting",No
Standard,Senior Equine Groom,335,ST0167,0,Advanced Apprenticeship,3,03,"Agriculture, Horticulture and Animal Care",03.3,Animal Care and Veterinary Science,STEM - no,"Agriculture, Environmental and Animal Care",No
Standard,Rail Engineering Advanced Technician,88,ST0316,0,Higher Apprenticeship,4,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Engineering and Manufacturing,No
Standard,Building Services Design Engineer (Degree),198,ST0372,1,Higher Apprenticeship,6,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,Yes
Standard,Food and Drink Technical Operator,129,ST0196,0,Advanced Apprenticeship,3,07,Retail and Commercial Enterprise,07.4,Hospitality and Catering,STEM - no,Engineering and Manufacturing,No
Standard,Conveyancing Technician,39,ST0100,0,Higher Apprenticeship,4,15,"Business, Administration and Law",15.5,Law and Legal Services,STEM - no,"Legal, Finance and Accounting",No
Standard,High Speed Rail and Infrastructure Technician,220,ST0528,0,Higher Apprenticeship,4,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Engineering and Manufacturing,No
Standard,Fishmonger,172,ST0194,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,"Sales, Marketing and Procurement",No
Framework,Care Leadership and Management,584,NA,0,Higher Apprenticeship,5,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,No Route,No
Standard,Employability Practitioner,415,ST0663,0,Higher Apprenticeship,4,01,"Health, Public Services and Care",01.4,Public Services,STEM - no,Business and Administration,No
Standard,Financial Services Administrator,8,ST0177,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Standard,Civil Engineering Technician,199,ST0091,0,Advanced Apprenticeship,3,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Construction Site Supervisor,502,ST0048,0,Higher Apprenticeship,4,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Media Production Co-Ordinator,598,ST0792,0,Higher Apprenticeship,4,09,"Arts, Media and Publishing",09.3,Media and Communication,STEM - no,Creative and Design,No
Standard,Learning and Development Consultant Business Partner,325,ST0563,0,Higher Apprenticeship,5,13,Education and Training,13.1,Teaching and Lecturing,STEM - no,Business and Administration,No
Standard,Healthcare Science Practitioner (Integrated Degree),168,ST0413,1,Higher Apprenticeship,6,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Health and Science,Yes
Standard,Fashion Studio Assistant,408,ST0173,0,Advanced Apprenticeship,3,09,"Arts, Media and Publishing",09.2,"Crafts, Creative Arts and Design",STEM - no,Creative and Design,No
Standard,Advanced Golf Greenkeeper,535,ST0207,0,Advanced Apprenticeship,3,03,"Agriculture, Horticulture and Animal Care",03.2,Horticulture and Forestry,STEM - no,"Agriculture, Environmental and Animal Care",No
Standard,Print Technician,461,ST0309,0,Advanced Apprenticeship,3,09,"Arts, Media and Publishing",09.2,"Crafts, Creative Arts and Design",STEM - no,Engineering and Manufacturing,No
Standard,Investment Operations Specialist,30,ST0180,0,Higher Apprenticeship,4,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Standard,Internal Audit Practitioner,295,ST0587,0,Higher Apprenticeship,4,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Standard,Production Chef,364,ST0589,0,Intermediate Apprenticeship,2,07,Retail and Commercial Enterprise,07.4,Hospitality and Catering,STEM - no,Catering and Hospitality,No
Standard,District Nurse,504,ST0709,1,Higher Apprenticeship,7,01,"Health, Public Services and Care",01.2,Nursing and Subjects and Vocations Allied to Medicine,STEM - no,Health and Science,No
Standard,Physiotherapist (Integrated Degree),397,ST0519,1,Higher Apprenticeship,6,01,"Health, Public Services and Care",01.2,Nursing and Subjects and Vocations Allied to Medicine,STEM - no,Health and Science,Yes
Standard,Interior Systems Installer,470,ST0388,0,Intermediate Apprenticeship,2,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,"Stockperson (Beef, Pigs, Sheep, Dairy)",344,ST0017,0,Intermediate Apprenticeship,2,03,"Agriculture, Horticulture and Animal Care",03.3,Animal Care and Veterinary Science,STEM - no,"Agriculture, Environmental and Animal Care",No
Standard,Aviation Ground Specialist,86,ST0038,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Transport and Logistics,No
Framework,MES Plumbing,117,NA,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,No Route,No
Standard,Healthcare Cleaning Operative,532,ST0843,0,Intermediate Apprenticeship,2,07,Retail and Commercial Enterprise,07.3,Service Enterprises,STEM - no,Health and Science,No
Standard,Science Manufacturing Process Operative,249,ST0422,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Engineering and Manufacturing,No
Standard,Network Cable Installer,448,ST0485,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Digital,No
Standard,Recruitment Consultant,217,ST0320,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.2,Administration,STEM - no,Business and Administration,No
Standard,Senior Housing and Property Management,66,ST0236,0,Higher Apprenticeship,4,01,"Health, Public Services and Care",01.4,Public Services,STEM - no,"Sales, Marketing and Procurement",No
Standard,Recruitment Resourcer,218,ST0321,0,Intermediate Apprenticeship,2,15,"Business, Administration and Law",15.2,Administration,STEM - no,Business and Administration,No
Standard,"Hire Controller (Plant, Tools and Equipment)",385,ST0269,0,Intermediate Apprenticeship,2,15,"Business, Administration and Law",15.2,Administration,STEM - no,Construction,No
Standard,Senior People Professional,615,ST0813,1,Higher Apprenticeship,7,15,"Business, Administration and Law",15.3,Business Management,STEM - no,Business and Administration,No
Standard,Cyber Security Technologist,98,ST0124,0,Higher Apprenticeship,4,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,Digital,No
Framework,Aviation Operations on the Ground,202,NA,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,No Route,No
Standard,Rail and Rail Systems Principal Engineer (Integrated Degree),301,ST0497,1,Higher Apprenticeship,7,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,Yes
Standard,Regulatory Compliance Officer,253,ST0430,0,Higher Apprenticeship,4,01,"Health, Public Services and Care",01.4,Public Services,STEM - no,Business and Administration,No
Standard,Through Life Engineering Services Specialist (Integrated Degree),499,ST0740,1,Higher Apprenticeship,7,15,"Business, Administration and Law",15.3,Business Management,STEM - no,Engineering and Manufacturing,Yes
Standard,Process Leader,419,ST0695,0,Higher Apprenticeship,4,15,"Business, Administration and Law",15.3,Business Management,STEM - no,Engineering and Manufacturing,No
Standard,Materials Process Engineer (Degree),426,ST0659,1,Higher Apprenticeship,7,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Engineering and Manufacturing,Yes
Standard,Radio Network Technician,611,ST0757,0,Advanced Apprenticeship,3,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,Digital,No
Standard,Mineral Products Technician,497,ST0605,0,Higher Apprenticeship,5,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Engineering and Manufacturing,No
Standard,Vehicle Damage Paint Technician,436,ST0448,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Engineering and Manufacturing,No
Standard,Waste Resource Operative,374,ST0545,0,Intermediate Apprenticeship,2,03,"Agriculture, Horticulture and Animal Care",03.4,Environmental Conservation,STEM - no,Transport and Logistics,No
Standard,Gas Network Craftsperson,57,ST0205,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,No
Standard,Poultry Worker,284,ST0389,0,Intermediate Apprenticeship,2,03,"Agriculture, Horticulture and Animal Care",03.1,Agriculture,STEM - no,"Agriculture, Environmental and Animal Care",No
Framework,Print and Printed Packaging,227,NA,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,No Route,No
Standard,Butcher,54,ST0078,0,Intermediate Apprenticeship,2,07,Retail and Commercial Enterprise,07.4,Hospitality and Catering,STEM - no,"Sales, Marketing and Procurement",No
Standard,Fitted Furniture Design Technician,498,ST0654,0,Advanced Apprenticeship,3,09,"Arts, Media and Publishing",09.2,"Crafts, Creative Arts and Design",STEM - no,Engineering and Manufacturing,No
Standard,Building Services Engineering Service and Maintenance Engineer,193,ST0061,0,Advanced Apprenticeship,3,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Construction Design and Build Technician,500,ST0043,0,Higher Apprenticeship,4,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Marketing Executive,349,ST0596,0,Higher Apprenticeship,4,15,"Business, Administration and Law",15.4,Marketing and Sales,STEM - no,"Sales, Marketing and Procurement",No
Framework,Hairdressing,217,NA,0,Intermediate Apprenticeship,2,07,Retail and Commercial Enterprise,07.3,Service Enterprises,STEM - no,No Route,No
Standard,Business to Business Sales Professional (Integrated Degree),311,ST0423,1,Higher Apprenticeship,6,15,"Business, Administration and Law",15.4,Marketing and Sales,STEM - no,"Sales, Marketing and Procurement",Yes
Standard,Non-Destructive Testing Engineering Technician,67,ST0288,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,No
Framework,Electrotechnical,105,NA,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,No Route,No
Standard,Junior Journalist,22,ST0285,0,Advanced Apprenticeship,3,09,"Arts, Media and Publishing",09.3,Media and Communication,STEM - no,Creative and Design,No
Standard,Building Services Engineering Craftsperson,173,ST0062,0,Advanced Apprenticeship,3,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Laboratory Scientist (Degree),221,ST0626,1,Higher Apprenticeship,6,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Health and Science,Yes
Standard,Technician Scientist,319,ST0597,0,Higher Apprenticeship,5,02,Science and Mathematics,02.1,Science,STEM - yes,Health and Science,No
Standard,Fundraiser,582,ST0887,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.4,Marketing and Sales,STEM - no,"Sales, Marketing and Procurement",No
Standard,Forest Operative,182,ST0224,0,Intermediate Apprenticeship,2,03,"Agriculture, Horticulture and Animal Care",03.2,Horticulture and Forestry,STEM - no,"Agriculture, Environmental and Animal Care",No
Standard,Advanced Credit Controller and Debt Collection Specialist,148,ST0175,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Standard,DevOps Engineer,548,ST0825,0,Higher Apprenticeship,4,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,Digital,No
Standard,Science Manufacturing Technician,15,ST0250,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Engineering and Manufacturing,No
Standard,Farrier,481,ST0172,0,Advanced Apprenticeship,3,03,"Agriculture, Horticulture and Animal Care",03.3,Animal Care and Veterinary Science,STEM - no,"Agriculture, Environmental and Animal Care",No
Standard,Science Industry Process and Plant Engineer (Degree),248,ST0473,1,Higher Apprenticeship,6,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Engineering and Manufacturing,Yes
Standard,Construction Assembly and Installation Operative,467,ST0265,0,Intermediate Apprenticeship,2,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
Standard,Signage Technician,607,ST0824,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Engineering and Manufacturing,No
Standard,Research Scientist,457,ST0759,1,Higher Apprenticeship,7,02,Science and Mathematics,02.1,Science,STEM - yes,Health and Science,No
Framework,Business Administration,102,NA,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.2,Administration,STEM - no,No Route,No
Standard,Paraplanner,48,ST0183,0,Higher Apprenticeship,4,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Framework,Supporting teaching and learning in schools,311,NA,0,Intermediate Apprenticeship,2,13,Education and Training,13.2,Direct Learning Support,STEM - no,No Route,No
Framework,Hospitality and Catering,220,NA,0,Intermediate Apprenticeship,2,07,Retail and Commercial Enterprise,07.4,Hospitality and Catering,STEM - no,No Route,No
Standard,Financial Adviser,153,ST0374,0,Higher Apprenticeship,4,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Framework,Management,260,NA,0,Higher Apprenticeship,5,15,"Business, Administration and Law",15.3,Business Management,STEM - no,No Route,No
Standard,Poultry Technician,331,ST0467,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,"Agriculture, Environmental and Animal Care",No
Standard,Healthcare Science Assistant,99,ST0218,0,Intermediate Apprenticeship,2,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Health and Science,No
Standard,Agriculture or Horticulture Professional Adviser,572,ST0761,1,Higher Apprenticeship,6,03,"Agriculture, Horticulture and Animal Care",03.1,Agriculture,STEM - no,"Agriculture, Environmental and Animal Care",No
Framework,Customer Service,263,NA,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.2,Administration,STEM - no,No Route,No
Standard,Psychological Wellbeing Practitioner,425,ST0568,1,Higher Apprenticeship,6,01,"Health, Public Services and Care",01.3,Health and Social Care,STEM - no,Health and Science,No
Standard,Junior Management Consultant,83,ST0273,0,Higher Apprenticeship,4,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,Business and Administration,No
Standard,Sports Coach,616,ST0770,0,Higher Apprenticeship,4,08,"Leisure, Travel and Tourism",08.1,"Sport, Leisure and Recreation",STEM - no,Health and Science,No
Standard,Cyber Security Technical Professional (Integrated Degree),355,ST0409,1,Higher Apprenticeship,6,06,Information and Communication Technology,06.1,ICT Practitioners,STEM - yes,Digital,Yes
Standard,Control Technical Support Engineer,9,ST0023,1,Higher Apprenticeship,6,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Engineering and Manufacturing,Yes
Standard,Senior Compliance and Risk Specialist,144,ST0363,1,Higher Apprenticeship,6,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Framework,MES Plumbing,117,NA,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,No Route,No
Standard,Investment Operations Technician,33,ST0181,0,Advanced Apprenticeship,3,15,"Business, Administration and Law",15.1,Accounting and Finance,STEM - no,"Legal, Finance and Accounting",No
Standard,Heritage Engineering Technician,341,ST0571,0,Advanced Apprenticeship,3,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,No
Standard,Passenger Transport Operations Manager,214,ST0337,0,Higher Apprenticeship,4,04,Engineering and Manufacturing Technologies,04.3,Transportation Operations and Maintenance,STEM - yes,Transport and Logistics,No
Standard,Gas Network Operative,58,ST0204,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,Engineering and Manufacturing,No
Framework,Water Industry,277,NA,0,Intermediate Apprenticeship,2,04,Engineering and Manufacturing Technologies,04.1,Engineering,STEM - yes,No Route,No
Standard,Manufacturing Engineer (Degree),11,ST0025,1,Higher Apprenticeship,6,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,Engineering and Manufacturing,Yes
Framework,Engineering Technology,336,NA,0,Higher Apprenticeship,4,04,Engineering and Manufacturing Technologies,04.2,Manufacturing Technologies,STEM - yes,No Route,No
Standard,Fashion and Textiles Product Technologist,359,ST0540,0,Higher Apprenticeship,4,09,"Arts, Media and Publishing",09.2,"Crafts, Creative Arts and Design",STEM - no,Engineering and Manufacturing,No
Standard,Travel Consultant,120,ST0340,0,Advanced Apprenticeship,3,08,"Leisure, Travel and Tourism",08.2,Travel and Tourism,STEM - no,"Sales, Marketing and Procurement",No
Standard,Surveying Technician,51,ST0332,0,Advanced Apprenticeship,3,05,"Construction, Planning and the Built Environment",05.2,Building and Construction,STEM - yes,Construction,No
