inspection_id,inspection_category,score,score_description
ITS375509,Overall effectiveness,2,Good
ITS375509,Leadership and management,2,Good
ITS441287,Overall effectiveness,2,Good
ITS441287,Leadership and management,2,Good
ITS408470,Overall effectiveness,2,Good
ITS408470,Leadership and management,2,Good
ITS408470,Apprenticeships,2,Good
10011495,Is safeguarding effective,1,Yes
10011495,Overall effectiveness,2,Good
10011495,Leadership and management,2,Good
10011495,Apprenticeships,2,Good
10004964,Is safeguarding effective,1,Yes
10004964,Overall effectiveness,2,Good
10004964,Leadership and management,2,Good
10004964,Apprenticeships,2,Good
10078063,Is safeguarding effective,1,Yes
10078063,Overall effectiveness,2,Good
10078063,Leadership and management,2,Good
10078063,Apprenticeships,2,Good
ITS434069,Overall effectiveness,2,Good
ITS434069,Leadership and management,2,Good
ITS434069,Apprenticeships,2,Good
ITS423418,Overall effectiveness,2,Good
ITS423418,Leadership and management,2,Good
10054657,Is safeguarding effective,1,Yes
10054657,Overall effectiveness,2,Good
10054657,Leadership and management,2,Good
10054657,Apprenticeships,2,Good
ITS433721,Overall effectiveness,2,Good
ITS433721,Leadership and management,2,Good
ITS433721,Apprenticeships,2,Good
10054721,Is safeguarding effective,1,Yes
10054721,Overall effectiveness,3,Requires improvement
10054721,Leadership and management,3,Requires improvement
ITS406811,Overall effectiveness,2,Good
ITS406811,Leadership and management,2,Good
ITS406811,Apprenticeships,2,Good
10127776,Is safeguarding effective,1,Yes
10127776,Overall effectiveness,3,Requires improvement
10127776,Quality of education,3,Requires improvement
10127776,Behaviour and attitudes,3,Requires improvement
10127776,Personal development,3,Requires improvement
10127776,Leadership and management,3,Requires improvement
10127776,Apprenticeships,3,Requires improvement
ITS446029,Overall effectiveness,2,Good
ITS446029,Leadership and management,2,Good
10109431,Is safeguarding effective,1,Yes
10109431,Overall effectiveness,4,Inadequate
10109431,Quality of education,4,Inadequate
10109431,Behaviour and attitudes,4,Inadequate
10109431,Personal development,4,Inadequate
10109431,Leadership and management,4,Inadequate
10109431,Apprenticeships,4,Inadequate
10109481,Is safeguarding effective,1,Yes
10109481,Overall effectiveness,2,Good
10109481,Quality of education,2,Good
10109481,Behaviour and attitudes,2,Good
10109481,Personal development,2,Good
10109481,Leadership and management,2,Good
ITS366028,Overall effectiveness,2,Good
ITS366028,Leadership and management,2,Good
ITS429002,Overall effectiveness,2,Good
ITS429002,Leadership and management,2,Good
ITS429002,Apprenticeships,2,Good
ITS410686,Overall effectiveness,2,Good
ITS410686,Leadership and management,2,Good
ITS410686,Apprenticeships,2,Good
ITS429273,Overall effectiveness,2,Good
ITS429273,Leadership and management,2,Good
10087174,Is safeguarding effective,1,Yes
10087174,Overall effectiveness,2,Good
10087174,Leadership and management,2,Good
10087174,Apprenticeships,2,Good
ITS388103,Overall effectiveness,2,Good
ITS388103,Leadership and management,2,Good
10078064,Is safeguarding effective,1,Yes
10078064,Overall effectiveness,2,Good
10078064,Leadership and management,2,Good
10078064,Apprenticeships,2,Good
10022480,Is safeguarding effective,1,Yes
10022480,Overall effectiveness,2,Good
10022480,Leadership and management,2,Good
10022522,Is safeguarding effective,1,Yes
10022522,Overall effectiveness,2,Good
10022522,Leadership and management,2,Good
10022522,Apprenticeships,2,Good
10004971,Is safeguarding effective,1,Yes
10004971,Overall effectiveness,1,Outstanding
10004971,Leadership and management,2,Good
10090612,Is safeguarding effective,1,Yes
10090612,Overall effectiveness,3,Requires improvement
10090612,Leadership and management,3,Requires improvement
10090612,Apprenticeships,3,Requires improvement
ITS343430,Overall effectiveness,2,Good
ITS343430,Leadership and management,2,Good
10020177,Is safeguarding effective,1,Yes
10020177,Overall effectiveness,1,Outstanding
10020177,Leadership and management,1,Outstanding
10020177,Apprenticeships,1,Outstanding
ITS345356,Overall effectiveness,2,Good
ITS345356,Leadership and management,2,Good
10049215,Is safeguarding effective,1,Yes
10049215,Overall effectiveness,3,Requires improvement
10049215,Leadership and management,3,Requires improvement
10049215,Apprenticeships,2,Good
ITS404219,Overall effectiveness,2,Good
ITS404219,Leadership and management,1,Outstanding
10037430,Is safeguarding effective,1,Yes
10037430,Overall effectiveness,2,Good
10037430,Leadership and management,2,Good
10037430,Apprenticeships,1,Outstanding
ITS399109,Overall effectiveness,2,Good
ITS399109,Leadership and management,2,Good
ITS399109,Apprenticeships,2,Good
10011497,Is safeguarding effective,1,Yes
10011497,Overall effectiveness,2,Good
10011497,Leadership and management,2,Good
10011497,Apprenticeships,2,Good
ITS429225,Overall effectiveness,2,Good
ITS429225,Leadership and management,2,Good
ITS429225,Apprenticeships,2,Good
10004979,Is safeguarding effective,1,Yes
10004979,Overall effectiveness,2,Good
10004979,Leadership and management,2,Good
10004979,Apprenticeships,2,Good
10090588,Is safeguarding effective,1,Yes
10090588,Overall effectiveness,4,Inadequate
10090588,Leadership and management,4,Inadequate
ITS408506,Overall effectiveness,2,Good
ITS408506,Leadership and management,2,Good
ITS408506,Apprenticeships,2,Good
ITS410687,Overall effectiveness,2,Good
ITS410687,Leadership and management,2,Good
ITS410687,Apprenticeships,2,Good
ITS440402,Overall effectiveness,2,Good
ITS440402,Leadership and management,2,Good
ITS440402,Apprenticeships,2,Good
10004981,Is safeguarding effective,1,Yes
10004981,Overall effectiveness,1,Outstanding
10004981,Leadership and management,1,Outstanding
ITS429150,Overall effectiveness,2,Good
ITS429150,Leadership and management,1,Outstanding
ITS429150,Apprenticeships,1,Outstanding
ITS423419,Overall effectiveness,2,Good
ITS423419,Leadership and management,2,Good
ITS446030,Overall effectiveness,1,Outstanding
ITS446030,Leadership and management,1,Outstanding
ITS446030,Apprenticeships,1,Outstanding
10037346,Is safeguarding effective,1,Yes
10037346,Overall effectiveness,2,Good
10037346,Leadership and management,2,Good
10004982,Is safeguarding effective,1,Yes
10004982,Overall effectiveness,1,Outstanding
10004982,Leadership and management,1,Outstanding
10004982,Apprenticeships,1,Outstanding
10123022,Is safeguarding effective,1,Yes
10123022,Overall effectiveness,2,Good
10123022,Quality of education,2,Good
10123022,Behaviour and attitudes,2,Good
10123022,Personal development,2,Good
10123022,Leadership and management,2,Good
10123022,Apprenticeships,2,Good
ITS376225,Overall effectiveness,2,Good
ITS376225,Leadership and management,3,Requires improvement
10005432,Is safeguarding effective,1,Yes
10005432,Overall effectiveness,1,Outstanding
10005432,Leadership and management,1,Outstanding
ITS429264,Overall effectiveness,2,Good
ITS429264,Leadership and management,2,Good
ITS429264,Apprenticeships,2,Good
10004985,Is safeguarding effective,1,Yes
10004985,Overall effectiveness,1,Outstanding
10004985,Leadership and management,1,Outstanding
ITS429108,Overall effectiveness,2,Good
ITS429108,Leadership and management,2,Good
10030677,Is safeguarding effective,1,Yes
10030677,Overall effectiveness,2,Good
10030677,Leadership and management,2,Good
10030677,Apprenticeships,2,Good
ITS429859,Overall effectiveness,2,Good
ITS429859,Leadership and management,2,Good
ITS429859,Apprenticeships,2,Good
ITS375494,Overall effectiveness,2,Good
ITS375494,Leadership and management,2,Good
ITS423825,Overall effectiveness,2,Good
ITS423825,Leadership and management,2,Good
ITS423825,Apprenticeships,2,Good
ITS385307,Overall effectiveness,2,Good
ITS385307,Leadership and management,2,Good
10004989,Is safeguarding effective,1,Yes
10004989,Overall effectiveness,2,Good
10004989,Leadership and management,2,Good
10004989,Apprenticeships,2,Good
10081579,Is safeguarding effective,1,Yes
10081579,Overall effectiveness,3,Requires improvement
10081579,Leadership and management,3,Requires improvement
ITS455585,Overall effectiveness,2,Good
ITS455585,Leadership and management,2,Good
10004991,Is safeguarding effective,1,Yes
10004991,Overall effectiveness,2,Good
10004991,Leadership and management,2,Good
ITS363195,Overall effectiveness,2,Good
ITS363195,Leadership and management,2,Good
ITS429226,Overall effectiveness,2,Good
ITS429226,Leadership and management,2,Good
10044384,Is safeguarding effective,1,Yes
10044384,Overall effectiveness,2,Good
10044384,Leadership and management,2,Good
10044384,Apprenticeships,2,Good
10020191,Is safeguarding effective,1,Yes
10020191,Overall effectiveness,2,Good
10020191,Leadership and management,2,Good
10020191,Apprenticeships,2,Good
ITS366020,Overall effectiveness,2,Good
ITS366020,Leadership and management,2,Good
ITS307165,Overall effectiveness,1,Outstanding
ITS307165,Leadership and management,1,Outstanding
ITS366055,Overall effectiveness,1,Outstanding
ITS366055,Leadership and management,1,Outstanding
10123012,Is safeguarding effective,1,Yes
10123012,Overall effectiveness,2,Good
10123012,Quality of education,2,Good
10123012,Behaviour and attitudes,2,Good
10123012,Personal development,2,Good
10123012,Leadership and management,2,Good
10123012,Apprenticeships,2,Good
ITS385777,Overall effectiveness,2,Good
ITS385777,Leadership and management,2,Good
10011506,Is safeguarding effective,1,Yes
10011506,Overall effectiveness,2,Good
10011506,Leadership and management,2,Good
10011506,Apprenticeships,2,Good
10004996,Is safeguarding effective,1,Yes
10004996,Overall effectiveness,2,Good
10004996,Leadership and management,2,Good
ITS446665,Overall effectiveness,2,Good
ITS446665,Leadership and management,2,Good
ITS446665,Apprenticeships,2,Good
ITS385762,Overall effectiveness,1,Outstanding
ITS385762,Leadership and management,1,Outstanding
ITS434050,Overall effectiveness,2,Good
ITS434050,Leadership and management,2,Good
ITS434050,Apprenticeships,2,Good
10011507,Is safeguarding effective,1,Yes
10011507,Overall effectiveness,2,Good
10011507,Leadership and management,2,Good
10011507,Apprenticeships,2,Good
ITS404559,Overall effectiveness,2,Good
ITS404559,Leadership and management,2,Good
ITS404559,Apprenticeships,2,Good
10004998,Is safeguarding effective,1,Yes
10004998,Overall effectiveness,2,Good
10004998,Leadership and management,2,Good
10004998,Apprenticeships,2,Good
ITS345544,Overall effectiveness,1,Outstanding
ITS345544,Leadership and management,1,Outstanding
10022540,Is safeguarding effective,1,Yes
10022540,Overall effectiveness,2,Good
10022540,Leadership and management,2,Good
ITS446605,Overall effectiveness,1,Outstanding
ITS446605,Leadership and management,1,Outstanding
ITS446605,Apprenticeships,1,Outstanding
ITS434071,Overall effectiveness,2,Good
ITS434071,Leadership and management,2,Good
10030695,Is safeguarding effective,1,Yes
10030695,Overall effectiveness,2,Good
10030695,Leadership and management,2,Good
10030695,Apprenticeships,2,Good
10078655,Is safeguarding effective,1,Yes
10078655,Overall effectiveness,3,Requires improvement
10078655,Leadership and management,3,Requires improvement
10078655,Apprenticeships,3,Requires improvement
ITS446028,Overall effectiveness,2,Good
ITS446028,Leadership and management,2,Good
ITS446028,Apprenticeships,2,Good
ITS410689,Overall effectiveness,2,Good
ITS410689,Leadership and management,2,Good
ITS410689,Apprenticeships,2,Good
ITS429858,Overall effectiveness,2,Good
ITS429858,Leadership and management,1,Outstanding
ITS429858,Apprenticeships,2,Good
ITS307004,Overall effectiveness,1,Outstanding
ITS307004,Leadership and management,1,Outstanding
ITS399130,Overall effectiveness,2,Good
ITS399130,Leadership and management,2,Good
ITS399130,Apprenticeships,2,Good
10037414,Is safeguarding effective,1,Yes
10037414,Overall effectiveness,2,Good
10037414,Leadership and management,2,Good
10005001,Is safeguarding effective,1,Yes
10005001,Overall effectiveness,2,Good
10005001,Leadership and management,2,Good
10005001,Apprenticeships,2,Good
10030734,Is safeguarding effective,1,Yes
10030734,Overall effectiveness,2,Good
10030734,Leadership and management,2,Good
10043899,Is safeguarding effective,1,Yes
10043899,Overall effectiveness,3,Requires improvement
10043899,Leadership and management,3,Requires improvement
10043899,Apprenticeships,3,Requires improvement
ITS376226,Overall effectiveness,2,Good
ITS376226,Leadership and management,2,Good
10030666,Is safeguarding effective,1,Yes
10030666,Overall effectiveness,2,Good
10030666,Leadership and management,2,Good
10030666,Apprenticeships,2,Good
10123141,Is safeguarding effective,1,Yes
10123141,Overall effectiveness,2,Good
10123141,Quality of education,2,Good
10123141,Behaviour and attitudes,2,Good
10123141,Personal development,2,Good
10123141,Leadership and management,2,Good
10123141,Apprenticeships,2,Good
10123018,Is safeguarding effective,1,Yes
10123018,Overall effectiveness,2,Good
10123018,Quality of education,2,Good
10123018,Behaviour and attitudes,2,Good
10123018,Personal development,2,Good
10123018,Leadership and management,2,Good
10037415,Is safeguarding effective,1,Yes
10037415,Overall effectiveness,2,Good
10037415,Leadership and management,2,Good
10037415,Apprenticeships,2,Good
ITS363234,Overall effectiveness,2,Good
ITS363234,Leadership and management,2,Good
10022548,Is safeguarding effective,1,Yes
10022548,Overall effectiveness,2,Good
10022548,Leadership and management,2,Good
10022548,Apprenticeships,2,Good
10041167,Is safeguarding effective,1,Yes
10041167,Overall effectiveness,3,Requires improvement
10041167,Leadership and management,3,Requires improvement
10041167,Apprenticeships,2,Good
10030689,Is safeguarding effective,1,Yes
10030689,Overall effectiveness,2,Good
10030689,Leadership and management,2,Good
10030689,Apprenticeships,2,Good
ITS408467,Overall effectiveness,2,Good
ITS408467,Leadership and management,1,Outstanding
ITS408467,Apprenticeships,2,Good
ITS429278,Overall effectiveness,1,Outstanding
ITS429278,Leadership and management,1,Outstanding
ITS429278,Apprenticeships,1,Outstanding
ITS408542,Overall effectiveness,2,Good
ITS408542,Leadership and management,2,Good
10011561,Is safeguarding effective,1,Yes
10011561,Overall effectiveness,2,Good
10011561,Leadership and management,2,Good
10011561,Apprenticeships,2,Good
ITS410636,Overall effectiveness,2,Good
ITS410636,Leadership and management,3,Requires improvement
10020200,Is safeguarding effective,1,Yes
10020200,Overall effectiveness,2,Good
10020200,Leadership and management,2,Good
10020200,Apprenticeships,2,Good
ITS446666,Overall effectiveness,2,Good
ITS446666,Leadership and management,2,Good
ITS446666,Apprenticeships,2,Good
10055527,Is safeguarding effective,1,Yes
10055527,Overall effectiveness,2,Good
10055527,Leadership and management,2,Good
ITS434052,Overall effectiveness,2,Good
ITS434052,Leadership and management,2,Good
ITS434052,Apprenticeships,2,Good
10011510,Is safeguarding effective,1,Yes
10011510,Overall effectiveness,2,Good
10011510,Leadership and management,2,Good
10011510,Apprenticeships,2,Good
10123051,Is safeguarding effective,1,Yes
10123051,Overall effectiveness,3,Requires improvement
10123051,Quality of education,3,Requires improvement
10123051,Behaviour and attitudes,2,Good
10123051,Personal development,2,Good
10123051,Leadership and management,3,Requires improvement
10123051,Apprenticeships,3,Requires improvement
10037416,Is safeguarding effective,1,Yes
10037416,Overall effectiveness,2,Good
10037416,Leadership and management,2,Good
ITS399146,Overall effectiveness,2,Good
ITS399146,Leadership and management,1,Outstanding
ITS399146,Apprenticeships,2,Good
10078161,Is safeguarding effective,1,Yes
10078161,Overall effectiveness,2,Good
10078161,Leadership and management,2,Good
ITS408543,Overall effectiveness,2,Good
ITS408543,Leadership and management,2,Good
ITS408543,Apprenticeships,2,Good
ITS434072,Overall effectiveness,2,Good
ITS434072,Leadership and management,2,Good
ITS434072,Apprenticeships,2,Good
10091938,Is safeguarding effective,1,Yes
10091938,Overall effectiveness,4,Inadequate
10091938,Leadership and management,4,Inadequate
10091938,Apprenticeships,2,Good
10005012,Is safeguarding effective,1,Yes
10005012,Overall effectiveness,2,Good
10005012,Leadership and management,2,Good
10005012,Apprenticeships,2,Good
ITS348867,Overall effectiveness,1,Outstanding
ITS348867,Leadership and management,1,Outstanding
ITS429298,Overall effectiveness,2,Good
ITS429298,Leadership and management,2,Good
10055334,Is safeguarding effective,1,Yes
10055334,Overall effectiveness,3,Requires improvement
10055334,Leadership and management,3,Requires improvement
10055334,Apprenticeships,3,Requires improvement
10090609,Is safeguarding effective,1,Yes
10090609,Overall effectiveness,2,Good
10090609,Leadership and management,2,Good
ITS408522,Overall effectiveness,2,Good
ITS408522,Leadership and management,2,Good
ITS408522,Apprenticeships,2,Good
ITS354473,Overall effectiveness,2,Good
ITS354473,Leadership and management,2,Good
10022547,Is safeguarding effective,1,Yes
10022547,Overall effectiveness,2,Good
10022547,Leadership and management,2,Good
ITS429151,Overall effectiveness,2,Good
ITS429151,Leadership and management,2,Good
10123084,Is safeguarding effective,1,Yes
10123084,Overall effectiveness,2,Good
10123084,Quality of education,2,Good
10123084,Behaviour and attitudes,1,Outstanding
10123084,Personal development,1,Outstanding
10123084,Leadership and management,2,Good
10078066,Is safeguarding effective,1,Yes
10078066,Overall effectiveness,2,Good
10078066,Leadership and management,2,Good
10022629,Is safeguarding effective,1,Yes
10022629,Overall effectiveness,2,Good
10022629,Leadership and management,2,Good
10022629,Apprenticeships,2,Good
10041168,Is safeguarding effective,1,Yes
10041168,Overall effectiveness,2,Good
10041168,Leadership and management,2,Good
10005017,Is safeguarding effective,1,Yes
10005017,Overall effectiveness,2,Good
10005017,Leadership and management,2,Good
10005017,Apprenticeships,2,Good
10005018,Is safeguarding effective,1,Yes
10005018,Overall effectiveness,2,Good
10005018,Leadership and management,2,Good
10192191,Is safeguarding effective,1,Yes
10192191,Overall effectiveness,2,Good
10192191,Quality of education,2,Good
10192191,Behaviour and attitudes,2,Good
10192191,Personal development,2,Good
10192191,Leadership and management,2,Good
10192191,Apprenticeships,2,Good
10196252,Is safeguarding effective,1,Yes
10196252,Overall effectiveness,1,Outstanding
10196252,Quality of education,1,Outstanding
10196252,Behaviour and attitudes,1,Outstanding
10196252,Personal development,1,Outstanding
10196252,Leadership and management,1,Outstanding
ITS452617,Overall effectiveness,1,Outstanding
ITS452617,Leadership and management,1,Outstanding
ITS452617,Apprenticeships,1,Outstanding
ITS408533,Overall effectiveness,2,Good
ITS408533,Leadership and management,2,Good
ITS408533,Apprenticeships,2,Good
10123080,Is safeguarding effective,1,Yes
10123080,Overall effectiveness,3,Requires improvement
10123080,Quality of education,3,Requires improvement
10123080,Behaviour and attitudes,2,Good
10123080,Personal development,2,Good
10123080,Leadership and management,3,Requires improvement
10054259,Is safeguarding effective,1,Yes
10054259,Overall effectiveness,3,Requires improvement
10054259,Leadership and management,3,Requires improvement
10054259,Apprenticeships,3,Requires improvement
10034207,Is safeguarding effective,1,Yes
10034207,Overall effectiveness,1,Outstanding
10034207,Leadership and management,1,Outstanding
10034207,Apprenticeships,1,Outstanding
10005020,Is safeguarding effective,1,Yes
10005020,Overall effectiveness,1,Outstanding
10005020,Leadership and management,1,Outstanding
10030700,Is safeguarding effective,1,Yes
10030700,Overall effectiveness,2,Good
10030700,Leadership and management,2,Good
ITS445776,Overall effectiveness,2,Good
ITS445776,Leadership and management,2,Good
ITS445776,Apprenticeships,2,Good
ITS404220,Overall effectiveness,2,Good
ITS404220,Leadership and management,2,Good
ITS408545,Overall effectiveness,2,Good
ITS408545,Leadership and management,2,Good
ITS408545,Apprenticeships,2,Good
10078067,Is safeguarding effective,1,Yes
10078067,Overall effectiveness,2,Good
10078067,Leadership and management,2,Good
10054731,Is safeguarding effective,1,Yes
10054731,Overall effectiveness,3,Requires improvement
10054731,Leadership and management,3,Requires improvement
10054731,Apprenticeships,3,Requires improvement
ITS385752,Overall effectiveness,2,Good
ITS385752,Leadership and management,2,Good
10078068,Is safeguarding effective,1,Yes
10078068,Overall effectiveness,3,Requires improvement
10078068,Leadership and management,3,Requires improvement
10078068,Apprenticeships,3,Requires improvement
ITS408463,Overall effectiveness,2,Good
ITS408463,Leadership and management,2,Good
10037330,Is safeguarding effective,1,Yes
10037330,Overall effectiveness,2,Good
10037330,Leadership and management,2,Good
10037330,Apprenticeships,2,Good
10030735,Is safeguarding effective,1,Yes
10030735,Overall effectiveness,2,Good
10030735,Leadership and management,2,Good
10030735,Apprenticeships,2,Good
10123098,Is safeguarding effective,1,Yes
10123098,Overall effectiveness,2,Good
10123098,Quality of education,2,Good
10123098,Behaviour and attitudes,2,Good
10123098,Personal development,2,Good
10123098,Leadership and management,2,Good
10123098,Apprenticeships,2,Good
ITS410657,Overall effectiveness,1,Outstanding
ITS410657,Leadership and management,1,Outstanding
ITS410657,Apprenticeships,1,Outstanding
10020097,Is safeguarding effective,1,Yes
10020097,Overall effectiveness,2,Good
10020097,Leadership and management,2,Good
10020097,Apprenticeships,2,Good
ITS342772,Overall effectiveness,1,Outstanding
ITS342772,Leadership and management,1,Outstanding
10090585,Is safeguarding effective,1,Yes
10090585,Overall effectiveness,3,Requires improvement
10090585,Leadership and management,3,Requires improvement
10090585,Apprenticeships,3,Requires improvement
ITS410658,Overall effectiveness,2,Good
ITS410658,Leadership and management,2,Good
ITS410658,Apprenticeships,2,Good
10030738,Is safeguarding effective,1,Yes
10030738,Overall effectiveness,1,Outstanding
10030738,Leadership and management,1,Outstanding
10030738,Apprenticeships,1,Outstanding
10008491,Is safeguarding effective,1,Yes
10008491,Overall effectiveness,2,Good
10008491,Leadership and management,2,Good
10008491,Apprenticeships,2,Good
ITS388108,Overall effectiveness,2,Good
ITS388108,Leadership and management,2,Good
10090572,Is safeguarding effective,1,Yes
10090572,Overall effectiveness,3,Requires improvement
10090572,Leadership and management,3,Requires improvement
10090572,Apprenticeships,3,Requires improvement
10011517,Is safeguarding effective,1,Yes
10011517,Overall effectiveness,2,Good
10011517,Leadership and management,2,Good
10011517,Apprenticeships,2,Good
10005441,Is safeguarding effective,1,Yes
10005441,Overall effectiveness,2,Good
10005441,Leadership and management,2,Good
10005441,Apprenticeships,2,Good
10054600,Is safeguarding effective,1,Yes
10054600,Overall effectiveness,2,Good
10054600,Leadership and management,2,Good
ITS366697,Overall effectiveness,2,Good
ITS366697,Leadership and management,3,Requires improvement
10046767,Is safeguarding effective,1,Yes
10046767,Overall effectiveness,2,Good
10046767,Leadership and management,2,Good
10046767,Apprenticeships,2,Good
10026233,Is safeguarding effective,1,Yes
10026233,Overall effectiveness,2,Good
10026233,Leadership and management,2,Good
10026233,Apprenticeships,2,Good
10046768,Is safeguarding effective,1,Yes
10046768,Overall effectiveness,1,Outstanding
10046768,Leadership and management,1,Outstanding
10046768,Apprenticeships,1,Outstanding
ITS408471,Overall effectiveness,2,Good
ITS408471,Leadership and management,2,Good
ITS410698,Overall effectiveness,2,Good
ITS410698,Leadership and management,2,Good
ITS410698,Apprenticeships,2,Good
10005032,Is safeguarding effective,1,Yes
10005032,Overall effectiveness,2,Good
10005032,Leadership and management,2,Good
10005032,Apprenticeships,2,Good
10109439,Is safeguarding effective,1,Yes
10109439,Overall effectiveness,2,Good
10109439,Quality of education,2,Good
10109439,Behaviour and attitudes,2,Good
10109439,Personal development,2,Good
10109439,Leadership and management,2,Good
10041170,Is safeguarding effective,1,Yes
10041170,Overall effectiveness,2,Good
10041170,Leadership and management,2,Good
10109416,Is safeguarding effective,1,Yes
10109416,Overall effectiveness,2,Good
10109416,Quality of education,2,Good
10109416,Behaviour and attitudes,2,Good
10109416,Personal development,1,Outstanding
10109416,Leadership and management,2,Good
10008496,Is safeguarding effective,1,Yes
10008496,Overall effectiveness,1,Outstanding
10008496,Leadership and management,1,Outstanding
10078070,Is safeguarding effective,1,Yes
10078070,Overall effectiveness,2,Good
10078070,Leadership and management,2,Good
10078070,Apprenticeships,3,Requires improvement
10090578,Is safeguarding effective,1,Yes
10090578,Overall effectiveness,3,Requires improvement
10090578,Leadership and management,3,Requires improvement
10090578,Apprenticeships,3,Requires improvement
ITS429014,Overall effectiveness,2,Good
ITS429014,Leadership and management,2,Good
ITS429014,Apprenticeships,2,Good
10054734,Is safeguarding effective,1,Yes
10054734,Overall effectiveness,3,Requires improvement
10054734,Leadership and management,3,Requires improvement
10054734,Apprenticeships,3,Requires improvement
ITS365876,Overall effectiveness,2,Good
ITS365876,Leadership and management,2,Good
10119480,Is safeguarding effective,1,Yes
10119480,Overall effectiveness,3,Requires improvement
10119480,Quality of education,3,Requires improvement
10119480,Behaviour and attitudes,2,Good
10119480,Personal development,2,Good
10119480,Leadership and management,3,Requires improvement
10119480,Apprenticeships,3,Requires improvement
10109420,Is safeguarding effective,1,Yes
10109420,Overall effectiveness,3,Requires improvement
10109420,Quality of education,3,Requires improvement
10109420,Behaviour and attitudes,2,Good
10109420,Personal development,3,Requires improvement
10109420,Leadership and management,3,Requires improvement
10109420,Apprenticeships,3,Requires improvement
ITS364606,Overall effectiveness,2,Good
ITS364606,Leadership and management,2,Good
10022623,Is safeguarding effective,1,Yes
10022623,Overall effectiveness,2,Good
10022623,Leadership and management,2,Good
10022623,Apprenticeships,2,Good
10005040,Is safeguarding effective,1,Yes
10005040,Overall effectiveness,2,Good
10005040,Leadership and management,2,Good
10005040,Apprenticeships,2,Good
10020117,Is safeguarding effective,1,Yes
10020117,Overall effectiveness,2,Good
10020117,Leadership and management,2,Good
10020117,Apprenticeships,2,Good
10011521,Is safeguarding effective,1,Yes
10011521,Overall effectiveness,2,Good
10011521,Leadership and management,2,Good
10011521,Apprenticeships,2,Good
10011522,Is safeguarding effective,1,Yes
10011522,Overall effectiveness,1,Outstanding
10011522,Leadership and management,1,Outstanding
10022514,Is safeguarding effective,1,Yes
10022514,Overall effectiveness,2,Good
10022514,Leadership and management,2,Good
10022514,Apprenticeships,2,Good
ITS429801,Overall effectiveness,2,Good
ITS429801,Leadership and management,2,Good
ITS429801,Apprenticeships,2,Good
10022491,Is safeguarding effective,1,Yes
10022491,Overall effectiveness,1,Outstanding
10022491,Leadership and management,1,Outstanding
10022491,Apprenticeships,1,Outstanding
10041171,Is safeguarding effective,1,Yes
10041171,Overall effectiveness,2,Good
10041171,Leadership and management,2,Good
ITS429233,Overall effectiveness,2,Good
ITS429233,Leadership and management,2,Good
ITS429233,Apprenticeships,2,Good
ITS443134,Overall effectiveness,2,Good
ITS443134,Leadership and management,2,Good
ITS443134,Apprenticeships,2,Good
10166251,Is safeguarding effective,1,Yes
10166251,Overall effectiveness,3,Requires improvement
10166251,Quality of education,3,Requires improvement
10166251,Behaviour and attitudes,2,Good
10166251,Personal development,3,Requires improvement
10166251,Leadership and management,3,Requires improvement
10166251,Apprenticeships,3,Requires improvement
10054643,Is safeguarding effective,1,Yes
10054643,Overall effectiveness,2,Good
10054643,Quality of education,2,Good
10054643,Behaviour and attitudes,2,Good
10054643,Personal development,2,Good
10054643,Leadership and management,2,Good
ITS385779,Overall effectiveness,2,Good
ITS385779,Leadership and management,2,Good
ITS434038,Overall effectiveness,2,Good
ITS434038,Leadership and management,2,Good
10054638,Is safeguarding effective,1,Yes
10054638,Overall effectiveness,2,Good
10054638,Leadership and management,2,Good
10054638,Apprenticeships,2,Good
10022581,Is safeguarding effective,1,Yes
10022581,Overall effectiveness,2,Good
10022581,Leadership and management,2,Good
10022581,Apprenticeships,2,Good
ITS365561,Overall effectiveness,2,Good
ITS365561,Leadership and management,2,Good
10109437,Is safeguarding effective,1,Yes
10109437,Overall effectiveness,3,Requires improvement
10109437,Quality of education,3,Requires improvement
10109437,Behaviour and attitudes,2,Good
10109437,Personal development,3,Requires improvement
10109437,Leadership and management,3,Requires improvement
10109437,Apprenticeships,3,Requires improvement
ITS452987,Overall effectiveness,1,Outstanding
ITS452987,Leadership and management,1,Outstanding
ITS452987,Apprenticeships,1,Outstanding
ITS333554,Overall effectiveness,1,Outstanding
ITS333554,Leadership and management,2,Good
ITS429236,Overall effectiveness,2,Good
ITS429236,Leadership and management,2,Good
ITS429236,Apprenticeships,2,Good
10078073,Is safeguarding effective,1,Yes
10078073,Overall effectiveness,3,Requires improvement
10078073,Leadership and management,3,Requires improvement
ITS411372,Overall effectiveness,2,Good
ITS411372,Leadership and management,2,Good
ITS411372,Apprenticeships,2,Good
ITS408497,Overall effectiveness,2,Good
ITS408497,Leadership and management,2,Good
ITS452988,Overall effectiveness,2,Good
ITS452988,Leadership and management,2,Good
ITS452988,Apprenticeships,2,Good
10022567,Is safeguarding effective,1,Yes
10022567,Overall effectiveness,2,Good
10022567,Leadership and management,2,Good
10090600,Is safeguarding effective,1,Yes
10090600,Overall effectiveness,3,Requires improvement
10090600,Leadership and management,3,Requires improvement
10090600,Apprenticeships,3,Requires improvement
10054714,Is safeguarding effective,1,Yes
10054714,Overall effectiveness,2,Good
10054714,Leadership and management,2,Good
ITS388462,Overall effectiveness,2,Good
ITS388462,Leadership and management,2,Good
10109460,Is safeguarding effective,1,Yes
10109460,Overall effectiveness,4,Inadequate
